ZRWAHOO	z r wahoo
ZRWAGON	z r wagon
ZRTORCH	z r torch
ZRSOLO	z r solo
ZRSIGN	z r sign
ZRRIFLE	zr rifle
ZRPRIMA	z r prima
ZRPENNY	z r penny
ZRMETAL	z r metal
ZRKNICK	z r knick
ZRJOINT	z r joint
ZRGRACE	z r grace
ZRCLIFF	z r cliff
ZRCHEST	z r chest
ZRBEACH	z r beach
ZRALERT	z r aleart
ZRAFRAID	z r afraid
ZR	z r
ZOMBIE	zombie
ZODIAC	zodiac
ZIPPER	zipper
YOBELT	yo belt
YOACRE	yo acre
YEAST	yeast
WUMUTUAL	w u mutual
WUBRINY-1	w u briny one
WUBRINY	w u briny
WUBONBON	w u bonbon
WSHOOFS	w s hoofs
WSCHILD	w s child
WSBURNT	w s burnt
WSACROBAT	w s acrobat
WS	w s
WOMUSE	m d muse
WOMACE	m d mace
WOHIVE	m d hive
WOFACT	m d fact
WOBONE	m d bone
WO	m d
WIROGUE	w i rogue
UNSTAR	un star
UNSNAFU-9	un snafu nine
UNRUMBLE-2	un rumble two
UN	u n
TWIXT	twixt
TPELIDE	t p elide
TOPAZ	topaz
TODHUNTER	todd hunter
TARBRUSH	tar brush
STESCALADE	s t escalade
SMOTH	s m oth
SM	s m
SLFREE-1	s l free one
SLEEPER	sleeper
SKEWER-1	skewer one
SGHOUSE	sg house
RYBAT	rye bat
REDWOOD	red wood
REDTOP	red top
REDSOX	red socks
REDSKIN	red skin
REDCOAT	red coat
REDCAP	red cap
QUSWIFT-7	q u swift seven
QUSWIFT-1	q u swift one
QUSPORT-1	q u sport one
QUHOPS-1	q u hops one
QKOPERA	q k opera
QKMAGNET	q k magnet
QKIVORY	q k ivory
QKHILLTOP	q k hilltop
QKGLACE	q k glace
QKFLOWAGE	q k flowage
QKENCHANT	q k enchant
QKACTIVE	q k active
QK	q k
QJWIN	q j win
QJBANNER-1	q j banner one
QDELF	q d elf
QDDALE	q d dale
QDCOVE	q d cove
QDCHAR	q d char
QDBIAS	q d bias
QD	q d
PLVWBLANKET	p l v w blanket
PLMHABYSS	p l m h abyss
PEKLOK	peck lock
PBSWING	p b swing
PBSUCCESS	p b success
PBRUMEN	p b rumen
PBPRIME	p b prime
PBIMPULSE	p b impulse
PBHISTORY	p b history
PB	p b
PAWNEE-5	pawnee five
PAWNEE-3	pawnee three
PASSAVOY	pass avoy
PARAGON	paragon
PALP	palp
OWVL	o w v l
OPIM	o p i m
OLYMPUS	olympus
ODYOKE	o d yoke
ODWIFE	o d wife
ODURGE	o d urge
ODUNIT	o d unit
ODOATH	o d oath
ODINCH	o d inch
ODIBEX	o d ibex
ODFOAM	o d foam
ODENVY	o d envy
ODEARL	o d earl
ODBOON	o d boon
ODBEAT	o d beat
ODALOE	o d aloe
ODACID	o d acid
OD	o d
NOTLOX	not lox
NIEXIT-3	n i exit
NEMOV-1	n e mov one
MONGOOSE	mongoose
MKULTRA	m k ultra
MKTRAP	m k trap
MKTOPAZ	m k topaz
MKNAOMI	m k naomi
MKCHARITY	m k charity
MK	m k
MHVIPER	m h viper
MHORDER	m h order
MHDOWEL	m h dowel
MHCHILD	m h child
MHCHAOS	m h chaos
MHAPRON	m h apron
MH	m h
MERRIMAC	merra mac
LPOVER	l p over
LPHIDDEN	l p hidden
LNERGO	l n ergo
LNAGON	l n agon
LITENSOR	l i tensor
LITEMPO-8	l i tempo eight
LITEMPO-4	l i tempo four
LITEMPO-2	l i tempo two
LITEMPO-12	l i tempo twelve
LITEMPO-1	l i tempo one
LITEMPO	l i tempo
LITAMIL-9	l i tamil nine
LITAMIL-7	l i tamil seven
LITAMIL-3	l i tamil three
LITAMIL-2	l i tamil two
LITAMIL-13	l i tamil thirteen
LITAMIL-1	l i tamil one
LITAMIL	l i tamil
LITAINT-7	l i taint seven
LITAINT-5	l i taint five
LITAINT-1	l i taint one
LITAINT	l i taint
LITABBY	l i tabby
LISICLE-1	l i sicle one
LISAMPAN	l i sampan
LIROMANCE	l i romance
LIRING-3	l i ring three
LIRING-1	l i ring one
LIRICE	l i rice
LIRAVINE	li ravine
LIPSTICK-20	lipstick twenty
LIPSTICK	lipstick
LIPLUG	l i plug
LIOVAL-1	l i oval one
LIOSAGE	l i osage
LIOOZE-1	l i ooze
LIONION-2	l i onion two
LIONION-1	l i onion one
LIONION	l i onion
LINOODLE	l i noodle
LINLUCK	l in luck
LINILE-1	l i nile one
LINEB-1	l i neb one
LIMUST	l i must
LIMUD	l i mud
LIMOTOR	l i motor
LIMITED	limited
LIMEW	l i new
LIMESA	l i mesa
LIMERICK	limerick
LIMASK-1	l i mask one
LILYRIC	l i lyric
LILISP	l i lisp
LIKAYAK-2	l i kayak two
LIJERSEY	l i jersey
LIHUFF-2	l i huff two
LIHUFF-1	l i huff one
LIHUFF	l i huff
LIHABIT	l i habit
LIGAFF	l i gaff
LIFIRE	l i fire
LIFEUD-22	l i feud twenty two
LIFEUD-2	l i feud two
LIFEUD-1	l i feud one
LIFEAT	l i feat
LIEVICT	l i evict
LIERODE	l i erode
LIENVOY-2	l i enjoy two
LIENVOY-16	l i envoy sixteen
LIENVOY	l i envoy
LIENTRAP	l i entrap
LIEMPTY-9	l i empty nine
LIEMPTY-6	l i empty six
LIEMPTY-2	l i empty two
LIEMPTY-19	l i empty nineteen
LIEMPTY-14	l i empty fourteen
LIEMPTY-1	l i empty one
LIEMPTY	l i empty
LIEMBRACE-11	l i embrace eleven
LIEMBRACE	l i embrace
LIELEGANT	l i elegant
LICOOL	l i cool
LICOOKY-1	l i cookie one
LICOMET-1	l i comet one
LICOAX	l i coax
LICHEW	l i chew
LICHANT-1	l i chant one
LICALLA	l i calla
LIBIGHT	l i bight
LIANCHOR	l i anchor
LI	l i
LCPIPIT	l c pipit
LCPANGS	l c pangs
LCIMPROVE	l c improve
LCHARVEST	l c harvest
LCFLUTTER	l c flutter
LC	l c
LAURICLE	l a auricle
LAROB	l a rob
KUWOLF	k u wolf
KUTUBE/D	k u tube d
KUTUBE	k u tube
KUSODA	k u soda
KUROAR	k u roar
KURIOT	k u riot
KUMONK	k u monk
KULOOK	k u look
KUJUMP	k u jump
KUJAZZ	k u jazz
KUHOOK	k u hook
KUGOWN	k u gown
KUFIRE	k u fire
KUDOVE	k u dove
KUDESK	k u desk
KUCLUB	j u club
KUCAGE	k u cage
KUBARK	k u bark
KU	k u
KMPLEBE	k m plebe
KMPAJAMA	km pajama
KMLASKING	k m lasking
KMFORGET	k m forget
KMFLUSH	k m flush
KLAMBROSIA-29	k l ambrosia twenty nine
KL	k l
KEYWAY	key wya
KAPOK	kay pock
JMZIP	j m zip
JMWAVE	j m wave
JMTRAV	j m trav
JMTIDE	j m tide
JMSPUR	j m spur
JMRIMM	j m rimm
JMPALM	j m palm
JMNET	j m net
JMMOVE	j m move
JMHOPE	j m hope
JMHARP	j m harp
JMGOLD	j m gold
JMGIN	j m gin
JMFURY	j m fury
JMFIG	j m fig
JMDUSK	j m dusk
JMCLOSET	j m closet
JMCLIPPER	j m clipper
JMCLEAR	j m clear
JMBLUG	j m blug
JMBELL	j m bell
JMBAR	j m bar
JMATE	j m ate
JMASH	j m ash
JMARC	j m arc
JMADD	j m add
JM	j m
JKLANCE	j k lance
JFK	j f k
HYSAGE-1	h y sage one
HTPLUME	h t plum
HTLINGUAL	h t lingual
HTKEEPER	h t keeper
HTBASTE	h t baste
HT	h t
HBFINCH	h b finch
HBEPITOME	h b epitome
GYROSE	g y rose
GRIP	grip
